Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Toyota Land Cruiser ZX G-Frontier,Karachi,34500000.0,2016,83000.0,Petrol,4600 cc,Automatic
Toyota Raize Z,Karachi,6500000.0,2021,27000.0,Petrol,1000 cc,Automatic
Suzuki Mehran VX,Karachi,550000.0,2006,100000.0,Petrol,800 cc,Manual
Toyota Raize Z,Karachi,6145000.0,2020,50000.0,Petrol,1000 cc,Automatic
Toyota Raize G,Karachi,5650000.0,2020,44000.0,Petrol,1000 cc,Automatic
KIA Carnival EX,Karachi,6300000.0,2019,208126.0,Petrol,3300 cc,Automatic
Toyota Camry 4th (XV40) Generation Up-Spec Automatic 2.4,Karachi,2350000.0,2006,150000.0,Petrol,2400 cc,Automatic
Suzuki Alto VS,Karachi,1450000.0,2004,75000.0,Petrol,660 cc,Automatic
Audi A4 1.4 TFSI,Karachi,8890000.0,2017,101000.0,Petrol,1400 cc,Automatic
Suzuki Mehran VX,Karachi,575000.0,2005,100000.0,Petrol,800 cc,Manual
Suzuki Cultus VXR,Karachi,2325000.0,2019,88000.0,Petrol,1000 cc,Manual
Toyota Passo,Karachi,2200000.0,2009,189701.0,Petrol,1000 cc,Automatic
KIA Sorento 2.4 FWD,Karachi,7950000.0,2022,18000.0,Petrol,2400 cc,Automatic
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,3775000.0,2020,69000.0,Petrol,1300 cc,Automatic
Toyota Hilux Revo Rocco,Karachi,13500000.0,2022,32000.0,Diesel,2800 cc,Automatic
Changan Alsvin 1.5L DCT Lumiere,Karachi,3565000.0,2021,78000.0,Petrol,1500 cc,Automatic
Toyota Hilux Revo V Automatic 3.0,Karachi,9400000.0,2017,112000.0,Diesel,3000 cc,Automatic
Toyota Corolla Altis Grande CVT-i 1.8,Karachi,5450000.0,2020,53000.0,Petrol,1800 cc,Automatic
Toyota Prius S 1.8,Karachi,3650000.0,2011,100000.0,Hybrid,1800 cc,Automatic
Toyota Corolla 9th (E120) Generation XLi,Karachi,1800000.0,2006,298989.0,Petrol,1300 cc,Manual
Nissan Dayz Highway Star S hybrid X pro pilot,Karachi,3775000.0,2021,67000.0,Hybrid,660 cc,Automatic
Suzuki Alto X,Karachi,980000.0,2007,78000.0,Petrol,660 cc,Automatic
Toyota Yaris Hatchback X,Karachi,4675000.0,2022,45000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6400000.0,2021,52000.0,Petrol,1000 cc,Automatic
Suzuki Swift DLX 1.3,Karachi,1450000.0,2012,123454.0,Petrol,1300 cc,Manual
Toyota Hilux Revo V Automatic 2.8,Karachi,10300000.0,2019,70000.0,Diesel,2800 cc,Automatic
Toyota Raize Z,Karachi,6350000.0,2021,57000.0,Petrol,1000 cc,Automatic
Daihatsu Rocky G,Karachi,6100000.0,2020,39000.0,Petrol,1000 cc,Automatic
Toyota Aqua S,Karachi,4500000.0,2017,93000.0,Hybrid,1500 cc,Automatic
Toyota Raize Z,Karachi,6250000.0,2020,42000.0,Petrol,1000 cc,Automatic
Suzuki FX GA,Karachi,245000.0,1987,100000.0,Petrol,800 cc,Manual
Toyota Prius S LED Edition 1.8,Karachi,3479999.0,2011,107000.0,Hybrid,1800 cc,Automatic
Toyota Corolla GLi 1.3 VVTi,Karachi,3600000.0,2015,100000.0,Petrol,1300 cc,Manual
Audi A5 1.8 TFSI,Karachi,9000000.0,2013,44377.0,Petrol,1800 cc,Automatic
Suzuki Alto GII,Karachi,1635000.0,2007,100000.0,Petrol,660 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,4200000.0,2017,99000.0,Petrol,1300 cc,Automatic
Honda Freed Hybrid G Honda Sensing,Karachi,6000000.0,2019,18218.0,Petrol,1500 cc,Automatic
Toyota Vitz F 1.0,Karachi,3500000.0,2017,102637.0,Petrol,996 cc,Automatic
Suzuki Alto VXR,Karachi,760000.0,2003,10000.0,Petrol,1000 cc,Manual
Toyota Passo X V Package,Karachi,2450000.0,2011,85000.0,Petrol,1000 cc,Automatic
Suzuki Cultus VXL,Karachi,2460000.0,2018,71000.0,Petrol,1000 cc,Manual
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,3595000.0,2019,49000.0,Petrol,1300 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,5900000.0,2021,56112.0,Petrol,1800 cc,Automatic
Honda City 1.3 i-VTEC,Karachi,4000000.0,2021,26000.0,Petrol,1300 cc,Manual
FAW V2 VCT-i,Karachi,1789999.0,2019,86000.0,Petrol,1300 cc,Manual
